Date,Open,High,Low,Close,Volume,Adj Close
2/24/17,4.43,4.5,4.31,4.33,6490300,4.33
2/23/17,4.53,4.55,4.3,4.32,11477500,4.32
2/22/17,4.43,4.5,4.26,4.41,8712700,4.41
2/21/17,4.52,4.58,4.38,4.46,6598400,4.46
2/17/17,4.71,4.75,4.53,4.54,9307200,4.54
2/16/17,4.74,4.81,4.68,4.69,11144200,4.69
2/15/17,4.7,4.76,4.66,4.67,8921600,4.67
2/14/17,4.84,4.85,4.65,4.74,8070300,4.74
2/13/17,4.78,4.83,4.7,4.74,7594900,4.74
2/10/17,4.83,4.96,4.78,4.83,12454900,4.83
2/9/17,5.12,5.17,4.88,4.88,9465700,4.88
2/8/17,4.99,5.23,4.99,5.12,16612900,5.12
2/7/17,4.88,5.01,4.8,4.94,10527000,4.94
2/6/17,4.77,4.99,4.68,4.97,8252200,4.97
2/3/17,4.67,4.75,4.65,4.73,4383200,4.73
2/2/17,4.72,4.78,4.62,4.68,5149100,4.68
2/1/17,4.55,4.64,4.5,4.6,5568700,4.6
1/31/17,4.67,4.69,4.55,4.62,6590300,4.62
1/30/17,4.51,4.65,4.48,4.51,8753200,4.51
1/27/17,4.39,4.54,4.37,4.47,4733400,4.47
1/26/17,4.4,4.47,4.36,4.39,7120100,4.39
1/25/17,4.49,4.61,4.47,4.54,6777300,4.54
1/24/17,4.64,4.79,4.54,4.61,7658500,4.61
1/23/17,4.51,4.69,4.49,4.62,6126500,4.62
1/20/17,4.42,4.59,4.39,4.45,5346700,4.45
1/19/17,4.36,4.51,4.32,4.42,6383500,4.42
1/18/17,4.6,4.64,4.38,4.43,6461000,4.43
1/17/17,4.66,4.66,4.54,4.59,9472700,4.59
1/13/17,4.34,4.49,4.31,4.44,7819600,4.44
1/12/17,4.68,4.7,4.43,4.46,8516500,4.46
1/11/17,4.52,4.61,4.33,4.5,16620900,4.5
1/10/17,4.5,4.72,4.48,4.58,9570700,4.58
1/9/17,4.57,4.74,4.48,4.53,14054900,4.53
1/6/17,4.56,4.74,4.27,4.44,14778900,4.44
1/5/17,4.31,4.72,4.31,4.68,16712500,4.68
1/4/17,4.18,4.22,4.07,4.21,8942200,4.21
1/3/17,3.86,4.14,3.86,4.14,14940400,4.14
12/30/16,4.06,4.21,3.83,3.85,21020800,3.85
12/29/16,3.71,4.03,3.69,4.02,23250700,4.02
12/28/16,3.47,3.68,3.42,3.66,15780200,3.66
12/27/16,3.45,3.57,3.4,3.55,8485300,3.55
12/23/16,3.26,3.4,3.26,3.37,11217200,3.37
12/22/16,3.31,3.35,3.21,3.25,9440600,3.25
12/21/16,3.42,3.45,3.31,3.33,7392800,3.33
12/20/16,3.26,3.4,3.2,3.4,7624500,3.4
12/19/16,3.35,3.45,3.29,3.34,13570200,3.34
12/16/16,3.29,3.42,3.21,3.32,17927200,3.32
12/15/16,3.47,3.47,3.16,3.21,17173100,3.21
12/14/16,3.99,4.08,3.56,3.56,16651700,3.56
12/13/16,3.86,3.97,3.76,3.94,11423100,3.94
12/12/16,3.78,3.95,3.71,3.86,9377300,3.86
12/9/16,3.9,3.92,3.68,3.73,10246600,3.73
12/8/16,3.95,3.95,3.83,3.95,5991500,3.95
12/7/16,3.96,4.04,3.85,3.91,8438000,3.91
12/6/16,3.93,4.05,3.84,3.86,6401800,3.86
12/5/16,3.8,3.98,3.7,3.92,8712300,3.92
12/2/16,3.75,3.89,3.73,3.86,9027900,3.86
12/1/16,3.65,3.83,3.55,3.68,7583700,3.68
11/30/16,3.72,3.74,3.65,3.67,5226100,3.67
11/29/16,3.69,3.81,3.62,3.76,6788400,3.76
11/28/16,3.77,3.8,3.64,3.75,7267500,3.75
11/25/16,3.6,3.66,3.54,3.64,4104000,3.64
11/23/16,3.65,3.69,3.51,3.59,9547300,3.59
11/22/16,3.8,3.89,3.67,3.87,9203400,3.87
11/21/16,3.78,3.88,3.73,3.77,5829400,3.77
11/18/16,3.61,3.7,3.56,3.69,8396400,3.69
11/17/16,3.85,3.98,3.61,3.7,9532000,3.7
11/16/16,3.95,3.97,3.8,3.83,6804800,3.83
11/15/16,3.74,3.99,3.73,3.95,7744100,3.95
11/14/16,3.54,3.85,3.46,3.72,11174300,3.72
11/11/16,3.84,3.91,3.54,3.59,9831200,3.59
11/10/16,4.24,4.26,3.78,3.84,13325600,3.84
11/9/16,4.65,4.66,4.19,4.35,13665100,4.35
11/8/16,4.23,4.52,4.16,4.3,14943400,4.3
11/7/16,4.03,4.04,3.91,3.97,5891200,3.97
11/4/16,4.17,4.24,4.07,4.21,7869400,4.21
11/3/16,3.93,4.18,3.9,4.18,7400100,4.18
11/2/16,4.29,4.33,3.93,3.94,10048900,3.94
11/1/16,4.13,4.23,4.08,4.15,5449000,4.15
10/31/16,3.95,4.02,3.85,4.01,4651100,4.01
10/28/16,3.92,4.03,3.81,3.93,7689200,3.93
10/27/16,4.05,4.1,3.88,3.93,5839400,3.93
10/26/16,4.23,4.25,3.98,4.06,5365000,4.06
10/25/16,4.08,4.3,4.07,4.23,6793600,4.23
10/24/16,4.16,4.18,3.97,4.06,9726100,4.06
10/21/16,3.98,4.14,3.93,4.1,8761300,4.1
10/20/16,3.91,4.01,3.78,4.01,7610900,4.01
10/19/16,3.84,3.9,3.75,3.87,11371500,3.87
10/18/16,3.53,3.69,3.46,3.66,6973900,3.66
10/17/16,3.39,3.47,3.31,3.43,6856100,3.43
10/14/16,3.4,3.49,3.36,3.37,9179000,3.37
10/13/16,3.4,3.56,3.32,3.46,10648000,3.46
10/12/16,3.28,3.42,3.26,3.38,9764200,3.38
10/11/16,3.36,3.37,3.23,3.28,7054400,3.28
10/10/16,3.32,3.38,3.26,3.37,5732900,3.37
10/7/16,3.32,3.39,3.14,3.28,11184400,3.28
10/6/16,3.22,3.36,3.19,3.22,12771600,3.22
10/5/16,3.55,3.57,3.3,3.41,13683100,3.41
10/4/16,3.75,3.75,3.45,3.45,13374100,3.45
10/3/16,4.05,4.1,3.85,3.93,5399300,3.93
9/30/16,4.3,4.31,4.03,4.05,10740300,4.05
9/29/16,4.22,4.28,4.12,4.21,5805000,4.21
9/28/16,4.03,4.32,4.03,4.28,7507000,4.28
9/27/16,4.1,4.18,4.04,4.1,6689000,4.1
9/26/16,4.19,4.28,4.15,4.16,5969500,4.16
9/23/16,4.31,4.36,4.09,4.12,7333100,4.12
9/22/16,4.59,4.65,4.27,4.31,9823400,4.31
9/21/16,4.29,4.51,4.23,4.51,10661100,4.51
9/20/16,4.2,4.22,4.08,4.18,5588800,4.18
9/19/16,4.05,4.2,4.05,4.12,7162900,4.12
9/16/16,4.08,4.25,3.99,3.99,27114100,3.99
9/15/16,4.2,4.26,4.04,4.15,10113300,4.15
9/14/16,4.2,4.33,4.14,4.19,13628400,4.19
9/13/16,4.33,4.36,4,4.1,15770300,4.1
9/12/16,3.84,4.45,3.83,4.42,22662000,4.42
9/9/16,4.1,4.13,3.89,3.91,7244500,3.91
9/8/16,4.27,4.34,4.12,4.18,8335600,4.18
9/7/16,4.34,4.35,4.12,4.27,10824900,4.27
9/6/16,4.22,4.35,4.14,4.32,15218300,4.32
9/2/16,3.94,4.09,3.85,4.07,15758100,4.07
9/1/16,3.73,3.82,3.66,3.76,23816500,3.76
8/31/16,3.76,3.84,3.7,3.7,16387200,3.7
8/30/16,3.95,3.99,3.76,3.82,9235600,3.82
8/29/16,3.86,4.04,3.82,4,12372400,4
8/26/16,4.07,4.15,3.8,3.9,17202000,3.9
8/25/16,3.89,4.05,3.82,3.99,11834700,3.99
8/24/16,4.28,4.29,3.9,3.91,21934900,3.91
8/23/16,4.66,4.66,4.26,4.37,20294100,4.37
8/22/16,4.58,4.7,4.55,4.58,11587200,4.58
8/19/16,4.71,4.82,4.64,4.7,14071600,4.7
8/18/16,4.82,4.87,4.73,4.83,12729200,4.83
8/17/16,4.81,4.91,4.65,4.8,20260900,4.8
8/16/16,4.96,5.02,4.86,4.87,16615100,4.87
8/15/16,5.04,5.08,4.86,4.93,21358900,4.93
8/12/16,5.18,5.23,4.98,5,17638000,5
8/11/16,5.18,5.28,5.05,5.08,15766100,5.08
8/10/16,5.18,5.25,5.12,5.15,20696700,5.15
8/9/16,5.12,5.19,5.06,5.1,21877800,5.1
8/8/16,5.62,5.81,5.5,5.68,12265300,5.68
8/5/16,5.53,5.6,5.4,5.54,10111000,5.54
8/4/16,5.31,5.87,5.31,5.75,11863700,5.75
8/3/16,5.27,5.3,5.15,5.28,10378000,5.28
8/2/16,5.32,5.38,5.26,5.3,13527500,5.3
8/1/16,5.18,5.28,5.06,5.22,8220600,5.22
7/29/16,5.1,5.25,5.05,5.17,13042200,5.17
7/28/16,5.04,5.09,4.81,5.01,13441400,5.01
7/27/16,4.73,5.04,4.66,5,16179000,5
7/26/16,4.49,4.69,4.44,4.63,12970100,4.63
7/25/16,4.51,4.57,4.39,4.43,10976900,4.43
7/22/16,4.7,4.75,4.55,4.62,11041900,4.62
7/21/16,4.5,4.78,4.45,4.77,10088000,4.77
7/20/16,4.63,4.67,4.42,4.45,9245900,4.45
7/19/16,4.88,4.93,4.76,4.77,7374400,4.77
7/18/16,4.79,4.91,4.76,4.88,11576200,4.88
7/15/16,4.69,4.86,4.67,4.73,7381600,4.73
7/14/16,4.69,4.84,4.59,4.78,9954700,4.78
7/13/16,4.81,4.9,4.7,4.8,9534500,4.8
7/12/16,4.82,4.92,4.65,4.68,11527000,4.68
7/11/16,4.79,4.95,4.72,4.86,8637100,4.86
7/8/16,4.57,4.89,4.52,4.84,10127400,4.84
7/7/16,4.64,4.71,4.54,4.58,6887100,4.58
7/6/16,4.73,4.82,4.61,4.73,11576900,4.73
7/5/16,4.53,4.68,4.43,4.61,10031700,4.61
7/1/16,4.28,4.49,4.23,4.47,10130000,4.47
6/30/16,4.27,4.32,4.12,4.14,12583500,4.14
6/29/16,4.27,4.31,4.17,4.19,10307000,4.19
6/28/16,4.2,4.3,4.12,4.2,13733800,4.2
6/27/16,4.4,4.46,4.15,4.38,10507700,4.38
6/24/16,4.35,4.46,4.18,4.27,11781400,4.27
6/23/16,3.93,4.04,3.9,4.01,9801400,4.01
6/22/16,3.84,3.98,3.73,3.98,9256100,3.98
6/21/16,3.82,3.88,3.77,3.82,10627900,3.82
6/20/16,3.76,3.97,3.74,3.93,9469900,3.93
6/17/16,3.96,4.05,3.85,3.86,30399700,3.86
6/16/16,4.1,4.14,3.79,3.9,12652100,3.9
6/15/16,3.73,4,3.67,3.97,9198600,3.97
6/14/16,3.87,3.89,3.62,3.71,9506500,3.71
6/13/16,4.02,4.04,3.73,3.85,6388400,3.85
6/10/16,3.99,4.09,3.86,3.88,6858200,3.88
6/9/16,3.92,3.98,3.86,3.95,8317700,3.95
6/8/16,3.9,4.03,3.87,3.92,8017300,3.92
6/7/16,3.72,3.8,3.68,3.69,5422000,3.69
6/6/16,3.76,3.8,3.63,3.78,7420700,3.78
6/3/16,3.51,3.79,3.48,3.76,7538000,3.76
6/2/16,3.24,3.32,3.21,3.25,3890000,3.25
6/1/16,3.31,3.38,3.19,3.28,5122000,3.28
5/31/16,3.17,3.36,3.14,3.26,5650500,3.26
5/27/16,3.31,3.37,3.17,3.17,6298400,3.17
5/26/16,3.49,3.54,3.34,3.37,5782600,3.37
5/25/16,3.21,3.45,3.16,3.4,7519300,3.4
5/24/16,3.41,3.49,3.25,3.26,8628700,3.26
5/23/16,3.52,3.64,3.42,3.54,6025300,3.54
5/20/16,3.71,3.76,3.49,3.62,7678600,3.62
5/19/16,3.43,3.7,3.36,3.68,6561700,3.68
5/18/16,3.88,3.98,3.59,3.62,11120500,3.62
5/17/16,3.85,4.05,3.78,4.02,6853400,4.02
5/16/16,3.92,4.01,3.79,3.85,6506200,3.85
5/13/16,3.79,3.95,3.75,3.79,6143800,3.79
5/12/16,3.82,3.92,3.75,3.8,10037300,3.8
5/11/16,3.72,3.86,3.61,3.84,9976500,3.84
5/10/16,3.43,3.61,3.33,3.6,5044000,3.6
5/9/16,3.44,3.53,3.39,3.4,5320800,3.4
5/6/16,3.42,3.71,3.41,3.66,9875000,3.66
5/5/16,3.32,3.45,3.3,3.35,7817100,3.35
5/4/16,3.12,3.35,3.1,3.18,6696300,3.18
5/3/16,3.38,3.41,3.17,3.21,7754900,3.21
5/2/16,3.46,3.5,3.31,3.35,9978700,3.35
4/29/16,3.3,3.43,3.27,3.4,9277300,3.4
4/28/16,3.05,3.2,3.04,3.18,7066900,3.18
4/27/16,3.11,3.11,2.95,3.01,4286400,3.01
4/26/16,2.94,3.06,2.86,3.04,4433600,3.04
4/25/16,2.96,3.02,2.87,2.9,4472000,2.9
4/22/16,2.99,3.09,2.91,2.95,4947500,2.95
4/21/16,3.09,3.12,2.95,3.01,7833500,3.01
4/20/16,3.11,3.2,2.93,2.94,8539100,2.94
4/19/16,2.98,3.15,2.94,3.12,7264600,3.12
4/18/16,2.93,2.94,2.81,2.85,5557100,2.85
4/15/16,2.72,2.9,2.67,2.86,5218100,2.86
4/14/16,2.78,2.84,2.6,2.67,5878800,2.67
4/13/16,2.81,2.94,2.79,2.81,6249700,2.81
4/12/16,2.83,2.97,2.75,2.92,8907900,2.92
4/11/16,2.64,2.84,2.61,2.81,7936000,2.81
4/8/16,2.36,2.53,2.35,2.52,7753600,2.52
4/7/16,2.32,2.39,2.3,2.37,4455300,2.37
4/6/16,2.24,2.29,2.21,2.26,2923700,2.26
4/5/16,2.22,2.28,2.16,2.28,3938700,2.28
4/4/16,2.26,2.27,2.16,2.17,3204100,2.17
4/1/16,2.14,2.26,2.1,2.26,4267400,2.26
3/31/16,2.26,2.3,2.17,2.21,3037100,2.21
3/30/16,2.19,2.24,2.12,2.2,6930900,2.2
3/29/16,2.07,2.24,2.04,2.21,5511100,2.21
3/28/16,2.07,2.12,2.02,2.06,2669500,2.06
3/24/16,2.04,2.12,2.01,2.07,3179600,2.07
3/23/16,2.08,2.19,2.02,2.02,5264000,2.02
3/22/16,2.23,2.27,2.17,2.19,3657500,2.19
3/21/16,2.12,2.27,2.1,2.16,6826000,2.16
3/18/16,2.18,2.22,2.11,2.14,13446600,2.14
3/17/16,2.35,2.37,2.16,2.18,6262100,2.18
3/16/16,2.02,2.29,1.99,2.27,5359500,2.27
3/15/16,2.05,2.1,1.95,2.08,5471900,2.08
3/14/16,2.22,2.25,2.07,2.08,5317700,2.08
3/11/16,2.3,2.33,2.17,2.2,4147800,2.2
3/10/16,2.2,2.32,2.17,2.28,6118800,2.28
3/9/16,2.12,2.18,2.05,2.15,8645000,2.15
3/8/16,2.39,2.41,2.18,2.2,9665800,2.2
3/7/16,2.46,2.53,2.33,2.36,12656600,2.36
3/4/16,2.57,2.77,2.34,2.4,17413900,2.4
3/3/16,2.36,2.6,2.36,2.57,6187300,2.57
3/2/16,2.3,2.4,2.26,2.34,5282900,2.34
3/1/16,2.44,2.47,2.27,2.3,5980600,2.3
2/29/16,2.39,2.45,2.36,2.42,4273500,2.42
2/26/16,2.35,2.43,2.26,2.37,6478400,2.37